company,file,window_end_index,S0,sigma,option_price,future_price,pct_change,abs_pct_change
exxon,exxon_us_d.csv,3313,2.23424,0.2020349120016492,0.2177410838021347,2.70698,11.413228489234177,11.413228489234177
exxon,exxon_us_d.csv,3061,2.1222,0.2005747527180314,0.2056315560604977,2.2528,-3.5355553699226037,3.5355553699226037
exxon,exxon_us_d.csv,2809,2.71952,0.200837500543559,0.2637836607749673,2.15362,-30.50845960959902,30.50845960959902
exxon,exxon_us_d.csv,2557,2.38342,0.1969274186235164,0.2276036618489609,2.65718,1.9365591524380432,1.9365591524380432
exxon,exxon_us_d.csv,2305,1.89172,0.1961767686790282,0.1801037006849318,2.41473,18.126694189154215,18.126694189154215
exxon,exxon_us_d.csv,2053,1.64918,0.1968686996277301,0.1574505437195529,1.88569,4.793864604254665,4.793864604254665
exxon,exxon_us_d.csv,1801,1.91029,0.2015550867635475,0.1858179014738181,1.63673,-24.04754783168096,24.04754783168096
exxon,exxon_us_d.csv,1549,1.6553,0.2066930341390593,0.1642828450079771,1.93558,7.007621276627978,7.007621276627978
exxon,exxon_us_d.csv,1297,1.43756,0.2109636089200566,0.1450331273082101,1.64918,4.631936941191323,4.631936941191323
exxon,exxon_us_d.csv,1045,1.58693,0.1946206636202641,0.1501376387311113,1.45021,-18.076262893203307,18.076262893203307
exxon,exxon_us_d.csv,793,1.66171,0.1783973298072729,0.1468740669768161,1.55582,-15.211081775810232,15.211081775810232
exxon,exxon_us_d.csv,541,1.43153,0.1903039409178751,0.133063658102754,1.66171,6.784094073980011,6.784094073980011
exxon,exxon_us_d.csv,289,1.38797,0.2131166876293905,0.1411792635488032,1.43153,-7.033240167208459,7.033240167208459
exxon,exxon_us_d.csv,37,1.03931,0.2759919567124702,0.1308769910753703,1.38797,20.95457649061682,20.95457649061682
fslr,fslr_us_d.csv,4591,164.09,0.5883250790286705,40.19802281297406,241.88,22.909365096609136,22.909365096609136
fslr,fslr_us_d.csv,4339,156.975,0.5920392296776265,38.67345996129697,162.5,-21.11703134976714,21.11703134976714
fslr,fslr_us_d.csv,4087,172.36,0.597012561042687,42.78477768954875,159.78,-32.12159299695333,32.12159299695333
fslr,fslr_us_d.csv,3835,68.23,0.60165094199903,17.055091706566888,165.04,116.89126233831612,116.89126233831612
fslr,fslr_us_d.csv,3583,98.71,0.6114013874253356,25.033766264099988,69.31,-55.14513855141321,55.14513855141321
fslr,fslr_us_d.csv,3331,55.26,0.6098305192123801,13.982018631141989,100.75,57.01770063130296,57.01770063130296
fslr,fslr_us_d.csv,3079,51.02,0.626641343169021,13.229235182524748,54.61,-18.893052102165324,18.893052102165324
fslr,fslr_us_d.csv,2827,64.22,0.6433238660545889,17.05067263572474,50.64,-47.69646937982675,47.69646937982675
fslr,fslr_us_d.csv,2575,33.33,0.6580442188853544,9.031409928351469,62.53,60.51182139708532,60.51182139708532
fslr,fslr_us_d.csv,2323,60.99,0.6768634286592524,16.95142129935228,32.85,-73.9324828649816,73.9324828649816
fslr,fslr_us_d.csv,2071,49.42,0.6997138812661547,14.152384140296393,61.36,-4.476697977127466,4.476697977127466
fslr,fslr_us_d.csv,1819,51.58,0.7256363535630951,15.26226701275586,48.77,-35.03735365016645,35.03735365016645
fslr,fslr_us_d.csv,1567,33.74,0.7350294910892294,10.09959346818989,51.46,22.58567436813903,22.58567436813903
fslr,fslr_us_d.csv,1315,49.03,0.7337557637865233,14.653579461552212,32.36,-63.88655815123845,63.88655815123845
fslr,fslr_us_d.csv,1063,158.48,0.7401211142773689,47.73395590392872,45.81,-101.21400549213068,101.21400549213068
fslr,fslr_us_d.csv,811,113.29,0.8097187930069288,36.987195407389045,159.3,7.964343360059105,7.964343360059105
fslr,fslr_us_d.csv,559,148.94,0.8743550909761035,52.07706124689508,111.21,-60.29747633066677,60.29747633066677
fslr,fslr_us_d.csv,307,173.19,0.781082588892005,54.748845648982,146.3,-47.138313787737154,47.138313787737154
general,general_mills_us_d.csv,10506,59.19,0.2121052851047822,5.997569629362715,44.62,-34.748385925600125,34.748385925600125
general,general_mills_us_d.csv,10254,64.1,0.2125264769513947,6.50546967932663,57.99,-19.680919936546996,19.680919936546996
general,general_mills_us_d.csv,10002,75.11,0.2132361511840257,7.643367020473846,63.29,-25.913150073856805,25.913150073856805
