company,file,n_rows,days_bef_start_point,avg_abs_pct_change
tesla,tesla_us_d.csv,3936,3682,83.85099146538617
total,total_energies_us_d.csv,5278,0,
total,total_energies_us_d.csv,5278,335,14.482304496205094
total,total_energies_us_d.csv,5278,670,14.990503466632301
total,total_energies_us_d.csv,5278,1005,15.345977577060506
total,total_energies_us_d.csv,5278,1340,14.87608940178482
total,total_energies_us_d.csv,5278,1675,14.910560026704715
total,total_energies_us_d.csv,5278,2010,14.829682206289604
total,total_energies_us_d.csv,5278,2345,14.888826985581773
total,total_energies_us_d.csv,5278,2679,14.981070923902104
total,total_energies_us_d.csv,5278,3014,15.069535630905406
total,total_energies_us_d.csv,5278,3349,14.947897451652675
total,total_energies_us_d.csv,5278,3684,15.011409799911899
total,total_energies_us_d.csv,5278,4019,15.045413439163065
total,total_energies_us_d.csv,5278,4354,14.988370017516857
total,total_energies_us_d.csv,5278,4689,14.98123971568965
total,total_energies_us_d.csv,5278,5024,14.988480496202431
walmart,walmart_us_d.csv,13521,0,
walmart,walmart_us_d.csv,13521,884,28.35602538122624
walmart,walmart_us_d.csv,13521,1769,27.435023193817475
walmart,walmart_us_d.csv,13521,2653,26.74329152171734
walmart,walmart_us_d.csv,13521,3538,26.302554700933584
walmart,walmart_us_d.csv,13521,4422,26.156727357405654
walmart,walmart_us_d.csv,13521,5307,26.7053171768503
walmart,walmart_us_d.csv,13521,6191,26.598491709014773
walmart,walmart_us_d.csv,13521,7076,27.038845558053588
walmart,walmart_us_d.csv,13521,7960,27.71093251413467
walmart,walmart_us_d.csv,13521,8845,28.319637341972484
walmart,walmart_us_d.csv,13521,9729,28.762349228661225
walmart,walmart_us_d.csv,13521,10614,29.105617344308815
walmart,walmart_us_d.csv,13521,11498,29.021326994289467
walmart,walmart_us_d.csv,13521,12383,29.052137682904693
walmart,walmart_us_d.csv,13521,13267,28.8974067967186
